Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Martin Verkerk, 1, 0, 25, 182.0, 9, 99.0
Mathieu Montcourt, 1, 0, 1, 171.0, 5, 72.0
Matteo Viola, 1, 0, 2, 0.0, 4, 54.0
Matthew Ebden, 6, 2, 45, 161.08333333333334, 3, 117.5
Matthias Bachinger, 1, 0, 4, 0.0, 4, 75.0
Max Mirnyi, 7, 3, 87, 26.142857142857142, 5, 132.0
Maxime Authom, 1, 0, 4, 0.0, 6, 134.0
Melle van Gemerden, 1, 0, 4, 0.0, 2, 116.0
Michael Berrer, 10, 4, 82, 66.25, 6, 109.0
Michael Lammer, 1, 0, 2, 162.0, 2, 62.0
Michael Llodra, 14, 4, 99, 72.89285714285714, 4, 92.5
Michael Russell, 9, 2, 31, 105.38888888888889, 4, 99.77777777777777
Michal Przysiezny, 3, 1, 43, 57.5, 4, 118.66666666666667
Michal Tabara, 3, 1, 20, 113.16666666666667, 8, 80.66666666666667
Mikhail Kukushkin, 7, 3, 19, 63.642857142857146, 2, 94.71428571428571
Mikhail Youzhny, 21, 11, 125, 100.76190476190476, 4, 114.85714285714286
Milos Raonic, 14, 10, 306, 130.89285714285714, 4, 112.0
Mischa Zverev, 6, 1, 51, 51.916666666666664, 3, 110.33333333333333
Nathan Healey, 5, 3, 49, 101.6, 6, 100.6
Nick Kyrgios, 2, 1, 58, 171.25, 12, 146.0
Nick Lindahl, 2, 0, 14, 159.25, 4, 82.5
Nicolas Almagro, 24, 15, 332, 118.29166666666667, 3, 124.91666666666667
Nicolas Devilder, 2, 0, 12, 72.5, 3, 84.5
Nicolas Escude, 3, 2, 39, 161.66666666666666, 2, 98.33333333333333
Nicolas Kiefer, 9, 5, 94, 169.16666666666666, 6, 124.0
Nicolas Lapentti, 6, 2, 31, 25.583333333333332, 3, 102.33333333333333
Nicolas Mahut, 11, 5, 79, 75.22727272727273, 6, 112.54545454545455
Nicolas Massu, 7, 1, 36, 112.5, 5, 98.28571428571429
Nikolay Davydenko, 32, 22, 168, 100.21875, 3, 116.5625
Novak Djokovic, 49, 43, 383, 151.37755102040816, 3, 109.14285714285714
Oliver Marach, 2, 0, 20, 0.0, 8, 158.0
Olivier Mutis, 2, 0, 11, 0.0, 3, 80.0
Olivier Patience, 6, 2, 28, 26.916666666666668, 3, 102.5
Olivier Rochus, 14, 6, 44, 97.25, 4, 112.92857142857143
Oscar Hernandez, 7, 1, 31, 23.071428571428573, 4, 84.85714285714286
Pablo Andujar, 7, 2, 20, 68.57142857142857, 3, 92.0
Pablo Carreno-Busta, 1, 0, 7, 0.0, 7, 126.0
Pablo Cuevas, 2, 0, 27, 0.0, 8, 131.0
Paolo Lorenzi, 3, 0, 7, 160.5, 5, 78.66666666666667
Paradorn Srichaphan, 8, 4, 48, 123.6875, 5, 89.625
Paul Baccanello, 1, 0, 14, 0.0, 9, 87.0
Paul Capdeville, 4, 2, 26, 79.125, 3, 113.0
Paul Goldstein, 3, 1, 14, 52.666666666666664, 5, 99.66666666666667
Paul-Henri Mathieu, 13, 7, 112, 76.57692307692308, 4, 108.15384615384616
Pavel Snobel, 1, 0, 5, 0.0, 7, 102.0
Pere Riba, 4, 2, 31, 122.625, 4, 88.0
Peter Gojowczyk, 2, 0, 12, 0.0, 5, 105.5
Peter Luczak, 10, 3, 126, 147.55, 4, 118.1
Peter Polansky, 1, 0, 7, 0.0, 4, 142.0
Peter Wessels, 2, 1, 14, 169.25, 2, 91.0
Philipp Kohlschreiber, 26, 17, 178, 113.42307692307692, 3, 102.5
Philipp Petzschner, 5, 1, 46, 66.9, 5, 107.6
Potito Starace, 7, 0, 45, 115.42857142857143, 3, 116.85714285714286
Radek Stepanek, 21, 11, 165, 63.5, 4, 114.52380952380952
Raemon Sluiter, 4, 1, 28, 0.0, 4, 102.75
Rafael Nadal, 49, 41, 215, 143.79591836734693, 2, 106.06122448979592
Rainer Schuettler, 11, 3, 43, 71.54545454545455, 4, 102.54545454545455
Rajeev Ram, 4, 1, 39, 41.625, 3, 121.0
Razvan Sabau, 1, 0, 1, 152.5, 9, 32.0
Rhyne Williams, 2, 0, 44, 82.5, 5, 127.5
Ricardo Hocevar, 1, 0, 5, 167.0, 4, 58.0
Ricardo Mello, 6, 2, 26, 75.66666666666667, 5, 118.16666666666667
Richard Berankis, 7, 4, 43, 144.85714285714286, 2, 86.42857142857143
Richard Gasquet, 28, 18, 221, 134.55357142857142, 3, 109.14285714285714
Rik de Voest, 1, 0, 10, 0.0, 0, 130.0
Robby Ginepri, 12, 6, 93, 92.45833333333333, 3, 109.66666666666667
Robert Kendrick, 3, 0, 33, 0.0, 5, 89.0
Robert Smeets, 3, 1, 31, 57.5, 5, 89.0
Roberto Bautista-Agut, 7, 4, 33, 67.85714285714286, 4, 120.57142857142857
Robin Haase, 9, 3, 68, 92.72222222222223, 5, 101.0
Robin Soderling, 11, 5, 93, 123.27272727272727, 4, 109.45454545454545
Robin Vik, 1, 0, 8, 152.5, 13, 178.0
Roger Federer, 70, 63, 678, 149.17142857142858, 2, 112.11428571428571
Roko Karanusic, 5, 1, 29, 59.6, 2, 103.0
Ruben Bemelmans, 1, 0, 14, 0.0, 5, 210.0
Ruben Ramirez-Hidalgo, 4, 0, 18, 0.0, 6, 74.5
Rui Machado, 2, 0, 9, 70.5, 5, 78.5
Ryan Harrison, 6, 1, 41, 117.83333333333333, 4, 92.83333333333333
Ryan Sweeting, 4, 2, 18, 78.75, 6, 98.0
Sam Querrey, 17, 9, 261, 110.55882352941177, 4, 104.70588235294117
Sam Warburg, 2, 1, 7, 78.25, 3, 115.0
Samuel Groth, 2, 0, 31, 178.5, 7, 89.0
Santiago Giraldo, 8, 3, 28, 77.875, 2, 96.75
Santiago Ventura, 3, 1, 26, 55.0, 6, 102.33333333333333
Sargis Sargsian, 4, 2, 23, 73.375, 4, 133.25
Scott Draper, 1, 0, 5, 153.5, 3, 99.0
Sebastien Grosjean, 19, 13, 144, 111.89473684210526, 2, 114.0
Sebastien de Chaunac, 3, 1, 22, 54.0, 6, 86.33333333333333
Sergio Roitman, 2, 0, 9, 0.0, 4, 95.5
Sergiy Stakhovsky, 9, 3, 75, 54.611111111111114, 5, 115.22222222222223
Simon Greul, 3, 0, 7, 110.83333333333333, 6, 95.66666666666667
Simon Stadler, 1, 0, 3, 0.0, 1, 90.0
Simone Bolelli, 6, 2, 30, 55.0, 2, 98.16666666666667
Sjeng Schalken, 5, 3, 14, 120.4, 3, 93.6
Somdev Devvarman, 4, 1, 25, 37.25, 2, 110.0
Stanislas Wawrinka, 30, 22, 303, 126.28333333333333, 3, 110.06666666666666
Stefan Koubek, 10, 5, 61, 62.8, 4, 117.3
Stephane Robert, 8, 4, 42, 118.4375, 6, 117.0
Steve Darcis, 4, 0, 10, 80.0, 2, 78.5
Steve Johnson, 2, 0, 42, 87.0, 10, 136.5
Takao Suzuki, 2, 1, 17, 87.5, 2, 87.5
Tatsuma Ito, 4, 2, 19, 159.75, 5, 121.25
Taylor Dent, 10, 5, 69, 141.35, 9, 95.2
Teimuraz Gabashvili, 7, 2, 38, 60.142857142857146, 7, 133.57142857142858
Thanasi Kokkinakis, 2, 1, 12, 166.75, 6, 98.0
Thiemo de Bakker, 2, 0, 31, 164.75, 4, 113.5
